epoch,train_loss,val_loss,lr,time,task_loss,kd_loss,ewc_loss
0,0.03818207429253125,0.0003716207875676322,0.0001,77.9057605266571,0.03818207429253125,0.0,0.0
1,0.007286742129415976,0.0010397628920904335,0.0001,82.01653671264648,0.007286742129415976,0.0,0.0
2,0.005309687224762602,0.00039763203088393677,0.0001,76.59495043754578,0.005309687224762602,0.0,0.0
3,0.004329428579917098,0.0005300131603857769,0.0001,76.33658075332642,0.004329428579917098,0.0,0.0
4,0.0034419608682149656,0.00044389046804888357,0.0001,76.70252227783203,0.0034419608682149656,0.0,0.0
5,0.002674011310739736,0.0004359236312081123,0.0001,76.35263252258301,0.002674011310739736,0.0,0.0
6,0.0020608642784423485,0.00045442858386505536,5e-05,77.44446659088135,0.0020608642784423485,0.0,0.0
7,0.001651678856805659,0.0004044113829368943,5e-05,78.91758918762207,0.001651678856805659,0.0,0.0
8,0.0014034325572624326,0.0004071996017107291,5e-05,78.74696087837219,0.0014034325572624326,0.0,0.0
9,0.001196439816288083,0.0005090759056633398,5e-05,76.76121377944946,0.001196439816288083,0.0,0.0
10,0.0010292415795154167,0.00042328487628090006,5e-05,82.32148241996765,0.0010292415795154167,0.0,0.0
11,0.0008767295974660354,0.0004326046920235755,5e-05,96.23298835754395,0.0008767295974660354,0.0,0.0
12,0.0007626095169688487,0.00046050185622416025,2.5e-05,98.50229549407959,0.0007626095169688487,0.0,0.0
13,0.0006889130815929443,0.00043581267178711063,2.5e-05,81.38358783721924,0.0006889130815929443,0.0,0.0
14,0.0006522405674029981,0.00040288131455396345,2.5e-05,81.09225487709045,0.0006522405674029981,0.0,0.0
15,0.0006189097861346575,0.00040848580389800317,2.5e-05,89.46418118476868,0.0006189097861346575,0.0,0.0
16,0.0005884581302247801,0.00044306889803256164,2.5e-05,98.76517629623413,0.0005884581302247801,0.0,0.0
17,0.0005607645438408804,0.0004215003964131644,2.5e-05,97.45370149612427,0.0005607645438408804,0.0,0.0
18,0.0005312520494408811,0.0004330881263179382,1.25e-05,81.69800877571106,0.0005312520494408811,0.0,0.0
19,0.0005049054247731442,0.00039248977909613455,1.25e-05,79.82427477836609,0.0005049054247731442,0.0,0.0
20,0.0004921305656671566,0.00039522773296564375,1.25e-05,79.39824748039246,0.0004921305656671566,0.0,0.0
